"n.desmeytikoi","m","Nrnd1","Nrnd2","Nrnd3","Nrnd4","Nrnd5","Nrnd6","Nrnd7","Nrnd8","Nrnd9","Nrnd10"
136,827,790,813,1,808,789,806,798,817,813,823
106,647,627,637,1,634,612,613,621,635,641,641
116,768,736,760,1,762,761,749,738,764,739,765
110,753,719,750,1,749,748,723,717,743,718,749
147,823,808,812,4,823,796,781,802,810,821,818
103,675,639,671,2,643,650,650,615,661,675,671
123,1035,1014,1024,3,1029,994,1001,1015,1028,1032,1026
125,690,667,685,6,684,666,671,674,683,673,686
135,945,915,936,1,938,910,917,904,937,945,936
108,623,590,614,1,619,618,594,604,623,612,619
123,810,787,800,4,806,779,778,779,798,797,802
118,912,892,887,1,910,904,883,900,906,871,906
101,696,668,695,2,695,674,672,685,688,695,691
137,1015,984,1005,2,1002,1001,979,976,1006,1014,1008
119,871,830,859,3,871,848,837,860,857,846,860
114,920,867,913,7,918,885,882,895,910,912,908
130,999,963,986,2,992,972,973,972,993,996,986
125,974,919,974,1,966,942,941,940,967,959,970
135,1017,988,999,3,1015,1002,993,969,1001,986,1008
113,844,820,842,3,842,795,814,834,827,828,836
138,995,945,972,2,994,980,966,977,983,981,990
138,1034,1007,1027,4,1022,1021,975,997,1026,1029,1020
119,699,660,682,2,699,698,666,695,699,693,692
114,653,618,644,4,648,640,626,636,638,643,648
132,866,850,857,1,861,854,836,854,861,866,860
112,711,685,707,1,710,701,689,699,709,675,705
132,1020,988,1014,11,1016,1003,980,996,1009,1007,1001
148,1139,1098,1113,2,1136,1126,1087,1110,1135,1123,1136
146,1045,1014,1030,2,1042,1007,1004,1019,1038,1027,1036
127,745,720,726,2,736,739,719,721,739,740,739
100,733,708,733,2,731,707,702,717,729,720,730
131,933,904,930,1,923,916,878,903,929,933,927
113,682,661,680,1,675,673,656,645,678,667,678
130,949,925,935,2,947,928,917,928,940,942,938
114,757,740,757,5,756,730,730,712,746,735,752
104,635,616,620,1,633,625,601,629,635,608,630
134,1114,1083,1094,2,1113,1091,1072,1075,1108,1101,1103
129,822,801,804,1,822,810,798,815,820,815,813
108,897,861,895,2,856,870,868,833,886,887,890
103,933,896,922,3,923,914,893,886,916,915,927
140,902,884,899,1,902,885,870,897,896,886,900
101,699,675,699,2,699,690,669,692,693,665,693
124,714,692,710,4,712,685,666,696,696,714,707
133,899,873,899,5,882,878,868,867,886,897,885
97,638,608,629,1,636,623,618,619,637,633,634
135,1092,1051,1087,4,1089,1052,1046,1070,1084,1085,1083
124,794,775,792,2,767,761,771,752,787,790,790
123,862,830,862,1,858,846,831,842,857,862,857
137,1067,1029,1059,1,1064,1053,1030,1047,1064,1054,1061
137,1091,1056,1087,5,1074,1081,1055,1051,1080,1085,1084
123,964,929,949,2,959,950,921,944,955,955,958
131,957,929,953,2,948,954,927,922,954,953,949
96,884,822,865,2,879,880,858,861,883,882,877
116,778,755,762,1,776,769,749,755,778,763,773
155,1097,1068,1053,5,1093,1075,1071,1077,1083,1095,1090
130,845,814,797,1,840,834,828,827,842,835,842
98,686,655,667.5,4,683,677,647,670,682,681,673
105,708,674,687,1,706,694,665,700,706,683,701
112,653,635,648,1,653,641,627.5,650,645,639,649
111,816,782,796,3,796,792,785,758,812,809,810
112,893,863,868,3,892,864,831,877,884,893,880
119,700,679,696,1,699,685,675,677,694,699,693
131,1047,1016,1034,4,1047,977,1008,1020,1030,1042,1041
111,854,806,852,6,852,840,813,821,841,847,844
121,786,756,780,4,781,772,766,765,784,769,781
120,923,887,905,1,910,896,874,889,920,922,919
141,906,879,870,1,906,874,875,897,901,899,900
126,849,823,844,2,838,846,814,814,848,814,844
111,863,835,849,1,862,850,839,843,849,856,855
151,947,922,944,9,943,923,921,939,932,946,937
147,1145,1117,1142,4,1140,1137,1116,1107,1141,1141,1137
119,805,781,803,1,788,799,770,765,805,803,797
110,940,907,936,2,934,902,893,912,936,915,934
112,936,899,931,1,918,910,877,845,935,935,933
140,966,938,939,1,949,954,941,934,959,954,963
152,867,844,866,2,865,855,850,835,854,856,861
103,805,779,800,1,800,791,772,772,804,801,802
111,655,632,651,1,643,652,638,626,652,653,643
111,719,678,663,3,718,717,690,681,713,710,712
130,735,719,733,1,732,729,712,705,732,721,732
132,830,808,820,2,830,820,795,813,818,825,822
125,923,894,906,2,923,913,901,901,917,916,917
131,859,818,855,6,854,838,820,841,849,858,850
131,1115,1076,1110,2,1090,1096,1077,1061,1111,1112,1106
142,1170,1106,1140,1,1170,1156,1137,1147,1166,1152,1163
132,1050,1019,1048,1,1050,1024,1017,1038,1041,1047,1039
100,793,763,772,1,775,744,756,752,776,791,786
132,920,891,916,1,918,909,892,909,917,917,916
111,729,696,728,2,726,711,707,707,716,725,713
116,1005,963,999,1,993,978,969,969,993,994,992
123,1032,1001,1028,2,1027,1028,996,1011,1032,997,1027
124,969,933,966,1,955,955,929,925,957,968,962
121,909,857,904,2,906,889,884,894,905,906,903
143,1063,1029,1056,2,1048,1054,1018,1019,1054,1063,1055
134,923,891,912,3,921,898,897,905,916,915,913
130,938,907,932,5,937,919,909,933,932,936,931
134,998,972,942,2,998,980,970,968,983,982,993
102,721,699,714,3,709,709,697,679,711,709,717
124,1041,1012,1027,5,1029,1035,1017,989,1040,1010,1029
118,904,881,896,1,897,888,873,861,896,899,898
118,920,884,909,3,914,898,892,895,915,913,912
139,972,942,943,9,958,938,928,939,961,952,957
105,878,851,860,1,878,848,833,847,869,878,868
131,793,766,760,4,778,777,751,769,785,790,788
123,988,957,987,1,988,978,955.5,980,979,980,981
122,974,932,971,1,973,953,903,959,972,973,970
109,748,723,747,1,746,729,713,728,746,744,744
157,1176,1136,1140,1,1170,1140,1124,1123,1155,1173,1164
136,875,853,874,1,874,847,850,856,873,873,872
108,846,809,838,3,830,822,816,798,838,840,830
110,971,932,936,1,937,947,940,926,962,965,965
116,870,840,859,2,859,850,847,833,861,819,862
121,723,703,719,6,721,698,691,716,710,722,711
114,685,654,667,2,676,671,656,660,677,673,679
134,836,792,823,3,835,830,802,825,827,836,828
144,990,967,970,2,966,973,943,909,987,982,984
147,781,763,778.5,3,772,763,748,766,771,777,773
140,890,845,889,2,882,871,857.5,857,879,854,881
136,1099,1054,1089,3,1099,1085,1048,1092,1087,1094,1094
152,978,951,972,4,975,956,959,968,973,962,971
123,948,922,926,4,932,932,915,910,940,945,940
99,933,883,922,1,914,909,854,882,928,932,928
136,1032,1002,1028,4,1022,1012,1000,1005,1015,1020,1021
109,688,670,686,1,686,659,662,658,686,684,681
149,903,874,891,1,903,897,875,895,893,892,900
125,845,823,823,1,840,805,819,813,836,844,841
150,1031,983,994,1,1030,985,1007,1006,1023,1021,1018
111,841,807,825,3,840,822,813,831,835,837,829
130,820,795,802,2,819,807,796,811,806,818,815
128,855,824,833,4,850,849,816,835,847,854,848
122,716,672,714,2,706,697,695,692,706,716,711
128,825,805,823,5,818,810,780,796,815,809,818
116,720,680,711,2,714,712,706,704,713,720,710
120,985,953,974,2,984,950,953,979,980,977,973
99,898,840,865,1,879,881,866,819,895,874,891
135,811,781,804,7,809,795,760,796,786,803,797
114,836,786,813,1,835,806,807,811,826,824,817
117,778,756,775,1,754,744,756,745,762,774,770
126,994,946,986,2,994,980,967,961,989,994,988
129,998,970,981,2,992,965,976,941,995,975,994
129,935,900,927,2,927,914,898,907,923,920,931
109,749,712,734,3,749,710,713,746,739,729,746
122,818,786,815,1,817,793,769,798,799,802,810
114,1008,978,1008,2,990,998,969,956,1007,1006,1001
94,883,850,874,2,862,872,838,822,877,867,879
130,928,875,927,3,868,924,894,870,925,908,922
113,1005,932,1000,3,989,965,970,926,999,1005,1000
127,808,781,791,4,808,799,785,802,803,806,798
114,883,849,875,2,865,869,855,853,880,868,878
146,1070,1047,1064,1,1050,1058,1043,1014,1068,1069,1063
131,752,733,752,3,748,736,724,734,743,752,743
126,923,887,917,1,913,908,893,895,915,916,913
149,1094,1064,1092,1,1092,1071,1065,1060,1086,1081,1090
138,845,819,840,1,841,822,811.5,813,838,833,837
119,861,837,842,9,859,835,828,845,837,859,850
123,829,806,827,1,807,813,805,776,821,826,821
120,849,820,846,1,848,830,820,834,844,847,843
107,749,719,730,8,749,739,715,739,734,737,741
111,750,724,714,1,747,734,722,731,749,734,746
134,840,799,830,1,838,825,810,814,834,830,832
127,741,713,737,4,739,728,729,729,738,732,731
142,1015,986,987,1,1012,1006,977,1003,1011,1004,1009
130,868,824,856,1,864,865,843,846,864,861,863
112,625,610,624,4,625,615,601,611,621,609,616
114,883,859,882,5,883,878,843,844,870,874,871
149,1136,1111,1131,2,1128,1115,1110,1103,1119,1132,1127
115,969,936,968,2,944,950,943,907,966,958,964
127,946,921,937,5,945,945,883,926,943,937,939
111,869,830,858,5,856,865,833,822,854,850,859
165,1155,1131,1137,4,1155,1154,1116,1144,1153,1141,1150
120,984,960,959,4,983,961,953,973,976,954,975
130,827,808,824,2,816,808,800,781,822,817,817
131,723,698,715,5,704,721,693,688,722,709,718
106,716,694,704,1,703,698,682,667,710,711,714
107,928,861,924,2,928,899,897,908,916,890,924
134,822,800,821,6,822,807,803,813,811,804,809
112,806,781,797,1,806,789,774,802,803,798,801
113,949,917,926,2,945,927,924,932,943,902,941
139,968,950,955,1,951,940,940,902,961,960,960
124,783,764,778,4,781,765,756,773,779,770,773
125,785,762,785,2,774,773,763.5,755,784,762,779
105,880,848,868,2,879,843,834,841,870,862,871
129,1021,979,998,1,1011,1009,989,998,1016,1009,1016
103,929,883,927,3,916,891,898,868,923,927,920
136,1010,978,999,2,1008,978,980,987,1007,987,1007
139,1048,1012,1042.5,1,1039,1016,1015,995,1043,1045,1043
109,847,817,832,1,818,838,810,796,844,835,843
140,918,871,918,4,911,899,895,891,903,917,911
115,864,835,855,10,863,860,836,839,855,860,853.5
139,956,934,940,4,953,923,928,938,944,927,952
114,899,862,898,1,896,879,861,885,895,884,896
135,914,889,900,1,902,883,886,886,900,901,907
106,754,719,741,2,752,744,721,736,746,752,744
144,868,852,864,1,864,861,839,850,864,856,860
129,694,670,691,2,688,676,675,670,683,689,689
100,757,733,740,3,757,717,715,740,749,747,748
147,1037,1008,1032,4,1036,1008,988,1027,1019,1033,1033
125,830,802,824,2,815,819,809,783,824,812,825
109,872,846,870,3,862,829,839,834,859,870,868
121,888,873,869,4,873,851,862,850,873,880,880
135,1001,959,999,3,993,990,985,956,995,994,991
121,768,732,744,5,766,738,740,752,748,768,761
126,688,666,662,3,685,671,657,652,686,683,681
148,1006,981,987,6,1003,986,975,975,990,1003,999
104,636,611,632,3,634,616,610,629,628,612,633
104,882,845,817,1,851,852,846,785,879,881,874
119,811,783,796,2,799,787,790,771,798,807,802
135,869,845,869,1,864,853,805,849,864,846,863
122,733,709,731,2,721,716,702,707,730,725,728
146,1021,995,1004,2,1021,1014,999,1011,1019,1021,1017
108,701,668,678,1,696,696,672,664,700,693,699
118,815,783,810,1,796,798,781,780,814,807,809
148,813,787,810,1,809,783,800,802,803,809,805
111,915,878,915,7,901,892,879,855,909,899,905
116,796,778,791,2,760,779,777,773,790,773,794
100,819,790,807,3,808,807,791,785,814,807,808
102,636,614,624,5,634,621,617,596,627,632,629
153,1032,1003,1027,2,1024,1015,1011,1007,1022,1006,1023
127,911,887,909,1,911,893,890,901,909,895,903
131,1154,1123,1147,1,1120,1148,1126,1081,1148,1149,1148
124,1110,1085,1110,2,1102,1083,1062,1084,1101,1104,1100
118,781,757,780,2,771,770,762,750,772,738,769
114,759,722,736,2,759,739,736,746,755,755,750
107,887,852,866,2,879,875,860,834,875,884,878
122,754,732,740,3,752,747,734,739,750,754,744
127,871,834,864,6,867,839,839,848,859,870,860
133,1098,1074,1068,2,1096,1061,1059,1076,1094,1085,1091
111,914,896,867,1,914,886,859,909,913,912,908
131,960,929,951,1,943,937,915,915,958,922,955
109,733,709,728,1,733,705,706,723,733,725,719
112,897,866,893,7,878,876,869,861,888,896,891
122,986,945,970,1,974,949,946,953,984,982,981
112,915,888,896,6,911,881,884,882,906,912,907
139,877,836,872,1,869,864,855,843,873,872,872
105,645,622,625,1,642,619,611,621,638,627,635
119,828,810,823,1,821,808,794,794,822,826,823
118,894,872,867,2,890,882,855,852,890,876,887
105,762,742,758,3,759,749,722,733,758,757,756
127,733,711,728,1,733,723,706,724,728,731,715
128,865,841,863,2,857,855,840,837,859,862,859
113,947,889,928,3,928,930,915,901,938,926,931
129,1033,995,1021,3,1014,1014,978,972,1022,1018,1026
117,884,846,869,1,873,856,851,819,879,876,878
128,724,690,707,1,721,688,677,698,721,720,721
126,990,947,979,2,990,961,962,990,984,987,981
144,1001,975,977,2,985,987,975,952,992,985,992
112,738,717,734,2,738,728,713,728,720,727,729
143,835,810,823,1,831,828,813,818,835,823,830
117,662,644,654,2,660,646,642,646,650,647,656
117,736,721,725,2,718,723,707,701,732,708,730
136,1001,959,997,1,998,982,931,984,997,990,996
101,684,660,673,2,672,669,651,650,679,677,678
146,880,850,878,2,880,848,836,871,873,869,876
125,860,831,860,1,856,830,822,842,853,852,852
141,940,922,932,3,918,930,906,898,930,940,933
133,915,883,914,5,892,901,877,873,903,913,906
107,662,636,648,2,660,656,622,641,661,660,657
117,696,668,695,3,682,674,662,658,688,696,688
110,938,906,928,8,927,929,891,879,926,931,931
109,680,649,675,1,677,676,663,661,680,676,672
111,824,799,794,1,823,797,785,820,818,812,815
123,856,802,832,2,855,840,832,833,851,850,852
121,865,834,858,4,864,852,815,853,863,861,859
115,844,805,840,1,831,837,809,777,841,834,827
127,870,840,865,2,870,863,828,860,866,861,858
135,1138,1104,1133,1,1136,1115,1091,1109,1136,1131,1133
128,1015,986,1011,1,1013,964,983,1007,994,1010,1006
119,721,693,711,5,708,705,695,675,707,710,707
124,838,810,836,2,833,827,816,774,836,817,834
99,851,819,812,1,838,831,809,813,843,839,848
146,996,974,987,1,990,979,966,961,992,982,988
117,759,733,748,1,757,737,725,747,749,756,750
124,940,907,932,3,936,926,901.5,912,932,935,929
147,771,747,751,3,769,751,748,755,766,768,763
128,929,903,916,1,910,926,897,879,928,926,922
118,849,809,846,3,847,838,815,813,844,831,841
103,702,671,700,3,696,690,677.5,672,696,694,695
134,926,893,918,6,917,908,893,883,916,917,918
112,657,635,655,1,650,634,620,633,653,634,650
108,780,754,776,3,780,760,754,777,768,761,774
101,742,710,735,1,740,732,716,722,741,740,736
120,734,709,732,2,730,717,707,709,728,729,719
119,797,776,785,3,784,795,763,767,795,794,787
141,1131,1100,1127,2,1127,1127,1104,1102,1126,1130,1124
143,865,845,851,1,864,862,827,838,849,828,858
109,879,845,872,5,869,850,847,851,866,865,869
106,765,741,760,2,763,764,741,733,764,756,757
118,876,842,869,1,875,863,857,869,872,869,872
115,795,769,791,2,795,787,761,789,795,790,793
119,691,670,688,4,689,686,672,677,686,686,686
118,702,679,697,2,690,698,670,667,699,697,691
129,877,849,863,7,871,863,850,847,864,872,870
136,852,830,838,3,851,840,822,841,846,830,849
127,813,773,812,3,813,807,788,800,804,779,806
135,1061,1036,1046,2,1059,1050,1021,1047,1056,1052,1056
137,956,921,943,8,937,935,906,906,948,941,948
140,1121,1082,1083,2,1119,1097,1087,1103,1118,1111,1111
131,970,944,967,4,960,963,950,934,962,956,961
