"LPprob","n","m","spA","spB","spC","suc","n.binding","Rank0","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","Rank9","Rank10"
"25fv47",1876,821,0.00695041410314012,0.349573690621194,0.387526652452026,TRUE,0.778319123020706,0.00121802679658952,0.123995127892814,0.219975639464068,0.318392204628502,0.493300852618758,0.493300852618758,0.493300852618758,0.687697929354446,0.770280146163216,0.872594397076736,0.997563946406821
"80bau3b",12061,2262,0.00085272396998136,0.152961980548187,0.668352541248653,FALSE,0.847038019451813,0.000663129973474801,0.0926171529619805,0.178381962864721,0.267683465959328,0.496905393457118,0.496905393457118,0.496905393457118,0.66158267020336,0.746684350132626,0.836870026525199,0.956675508399646
"adlittle",138,56,0.0548654244306418,0.660714285714286,0.594202898550725,TRUE,0.821428571428571,0.0178571428571429,0.0982142857142857,0.178571428571429,0.258928571428571,0.357142857142857,0.455357142857143,0.553571428571429,0.678571428571429,0.785714285714286,0.892857142857143,1
"afiro",51,27,0.0740740740740741,0.259259259259259,0.0980392156862745,TRUE,0.851851851851852,0.0588235294117647,0.188235294117647,0.317647058823529,1,1,1,1,1,1,1,1
"agg",615,488,0.00953618552578968,0.885245901639344,0.213008130081301,TRUE,0.145491803278689,0.00204918032786885,0.0184426229508197,0.0327868852459016,0.0655737704918033,0.120901639344262,0.233606557377049,0.377049180327869,0.92827868852459,0.954918032786885,0.979508196721312,0.993852459016393
"agg2",758,516,0.0121187948702215,0.914728682170543,0.304749340369393,TRUE,0.158914728682171,0.00387596899224806,0.0294573643410853,0.0565891472868217,0.0974806201550388,0.12093023255814,0.163759689922481,0.79418604651163,0.911821705426357,0.956976744186047,0.974612403100775,0.998062015503876
"agg3",758,516,0.012159702194678,0.905038759689923,0.304749340369393,TRUE,0.14922480620155,0.00387596899224806,0.0282945736434109,0.0546511627906977,0.0844961240310078,0.109302325581395,0.135658914728682,0.334108527131783,0.903488372093023,0.945542635658915,0.969767441860465,1
"bandm",472,305,0.0173242567379828,0.386885245901639,0.349576271186441,TRUE,1,0.00327868852459016,0.102950819672131,0.202622950819672,0.302295081967213,0.401967213114754,0.501639344262295,0.639344262295082,0.639344262295082,0.800655737704918,0.901311475409836,1
"beaconfd",295,173,0.0667777015773489,0.38728323699422,0.342372881355932,TRUE,0.641618497109827,0.327160493827161,0.327160493827161,0.327160493827161,0.327160493827161,0.327160493827161,0.327160493827161,0.783950617283951,0.783950617283951,0.783950617283951,0.783950617283951,1
"blend",114,74,0.061877667140825,0.108108108108108,0.263157894736842,TRUE,0.810810810810811,0.0135135135135135,0.133783783783784,0.213513513513514,0.343918918918919,0.440540540540541,0.547297297297297,0.654054054054054,0.733783783783784,0.824324324324324,0.893243243243243,1
"bnl1",1586,643,0.00542460369602608,0.429237947122862,0.635561160151324,TRUE,0.794712286158631,0.0015552099533437,0.0902021772939347,0.223950233281493,0.319595645412131,0.382581648522551,0.494556765163297,0.494556765163297,0.689735614307932,0.783825816485226,0.909797822706065,0.997667185069984
"bnl2",4486,2324,0.00143840120689113,0.189759036144578,0.473695942933571,TRUE,0.816265060240964,0.000430292598967298,0.116523235800344,0.401678141135972,0.401678141135972,0.401678141135972,0.401678141135972,0.401678141135972,0.70460413080895,0.70460413080895,0.894363166953528,0.998493975903614
"bore3d",334,233,0.0186065636966411,0,0.287425149700599,TRUE,1,0.180257510729614,0.180257510729614,0.180257510729614,0.180257510729614,0.65450643776824,0.65450643776824,0.65450643776824,0.65450643776824,0.65450643776824,0.65450643776824,1
"brandy",303,220,0.033033303330333,0.245454545454545,0.0066006600660066,TRUE,0.886363636363636,0.498861047835991,0.498861047835991,0.498861047835991,0.498861047835991,0.498861047835991,0.498861047835991,0.498861047835991,0.498861047835991,0.498861047835991,0.498861047835991,1
"capri",482,271,0.014515165898547,0.47970479704797,0.0394190871369295,TRUE,0.785977859778598,0.003690036900369,0.481549815498155,0.481549815498155,0.481549815498155,0.481549815498155,0.481549815498155,0.481549815498155,0.481549815498155,0.481549815498155,0.920664206642066,1
