"LPprob","n","m","spA","spB","spC","suc","n.binding","Rank0","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","Rank9","Rank10"
"25fv47",1876,821,0.00695041410314012,0.349573690621194,0.387526652452026,TRUE,0.778319123020706,0.00121802679658952,0.123995127892814,0.228501827040195,0.317174177831912,0.496954933008526,0.496954933008526,0.496954933008526,0.710840438489647,0.793422655298416,0.886967113276492,1
"80bau3b",12061,2262,0.00085272396998136,0.152961980548187,0.668352541248653,FALSE,0.847038019451813,0.000442086648983201,0.0851016799292661,0.169982316534041,0.254420866489832,0.389699381078691,0.389699381078691,0.661140583554377,0.746021220159151,0.830459770114943,0.915340406719717,1
"adlittle",138,56,0.0548654244306418,0.660714285714286,0.594202898550725,TRUE,0.821428571428571,0.0178571428571429,0.0982142857142857,0.178571428571429,0.258928571428571,0.339285714285714,0.419642857142857,0.535714285714286,0.651785714285714,0.785714285714286,0.883928571428571,0.964285714285714
"afiro",51,27,0.0740740740740741,0.259259259259259,0.0980392156862745,TRUE,0.851851851851852,0.037037037037037,0.118518518518519,0.348148148148148,0.592592592592593,0.592592592592593,0.592592592592593,0.592592592592593,0.592592592592593,0.592592592592593,0.592592592592593,1
"agg",615,488,0.00953618552578968,0.885245901639344,0.213008130081301,TRUE,0.145491803278689,0.00204918032786885,0.0184426229508197,0.0327868852459016,0.0471311475409836,0.0799180327868853,0.163934426229508,0.309426229508197,0.391393442622953,0.948770491803279,0.979508196721312,0.993852459016393
"agg2",758,516,0.0121187948702215,0.914728682170543,0.304749340369393,TRUE,0.158914728682171,0.00193798449612403,0.0253875968992248,0.0410852713178295,0.0866279069767443,0.155813953488372,0.256782945736434,0.349612403100775,0.912209302325581,0.939341085271318,0.978488372093023,1
"agg3",758,516,0.012159702194678,0.905038759689923,0.304749340369393,TRUE,0.14922480620155,0.00193798449612403,0.0236434108527132,0.0562015503875969,0.100387596899225,0.151550387596899,0.213178294573643,0.330232558139535,0.893798449612403,0.939147286821705,0.971705426356589,0.992248062015504
"bandm",472,305,0.0173242567379828,0.386885245901639,0.349576271186441,TRUE,1,0.00327868852459016,0.102950819672131,0.201639344262295,0.302295081967213,0.401967213114754,0.501639344262295,0.614754098360656,0.614754098360656,0.800655737704918,0.900327868852459,1
"beaconfd",295,173,0.0667777015773489,0.38728323699422,0.342372881355932,TRUE,0.641618497109827,0.00578034682080925,0.092485549132948,0.208092485549133,0.300578034682081,0.375722543352601,0.609826589595376,0.609826589595376,0.609826589595376,0.609826589595376,0.609826589595376,0.609826589595376
"blend",114,74,0.061877667140825,0.108108108108108,0.263157894736842,TRUE,0.810810810810811,0.027027027027027,0.133783783783784,0.240540540540541,0.32027027027027,0.4,0.47972972972973,0.55945945945946,0.693243243243243,0.772972972972973,0.895945945945946,1
"bnl1",1586,643,0.00542460369602608,0.429237947122862,0.635561160151324,TRUE,0.794712286158631,0.0015552099533437,0.088646967340591,0.206842923794712,0.309486780715397,0.405132192846034,0.506998444790047,0.575427682737169,0.70606531881804,0.800933125972006,0.908242612752722,1
"bnl2",4486,2324,0.00143840120689113,0.189759036144578,0.473695942933571,TRUE,0.816265060240964,0.000430292598967298,0.0914371772805508,0.186617900172117,0.296299483648881,0.558304647160069,0.558304647160069,0.558304647160069,0.558304647160069,0.558304647160069,0.877969018932874,1
"bore3d",334,233,0.0186065636966411,0,0.287425149700599,TRUE,1,0.00429184549356223,0.298283261802575,0.298283261802575,0.298283261802575,0.298283261802575,0.298283261802575,0.601716738197425,0.701287553648069,0.800858369098713,0.900429184549356,1
"brandy",303,220,0.033033303330333,0.245454545454545,0.0066006600660066,TRUE,0.886363636363636,0.0134529147982063,1,1,1,1,1,1,1,1,1,1
"capri",482,271,0.014515165898547,0.47970479704797,0.0394190871369295,TRUE,0.785977859778598,0.0037243947858473,0.48975791433892,0.48975791433892,0.48975791433892,0.48975791433892,0.48975791433892,0.48975791433892,0.48975791433892,0.48975791433892,0.932960893854749,1
"cre_a",7248,3516,0.000712918804481312,0.0878839590443686,0.561120309050773,TRUE,0.931740614334471,0.000853242320819113,0.0951365187713311,0.191410693970421,0.285267349260523,0.385096700796359,0.483361774744027,0.587599544937429,0.69269055745165,0.799488054607508,0.897468714448237,1
"cre_c",6411,3068,0.000812295604218385,0.103650586701434,0.573701450631727,TRUE,0.926010430247718,0.000488917861799218,0.0979465449804433,0.192959582790091,0.293187744458931,0.389504563233377,0.492340286831812,0.59403520208605,0.696382007822686,0.803780964797914,0.897653194263364,1
"cycle",3371,1903,0.00331004785181262,0,0.178582023138535,FALSE,1,0.00105290866017373,0.494867070281653,0.494867070281653,0.494867070281653,0.494867070281653,0.494867070281653,0.494867070281653,0.494867070281653,0.494867070281653,0.494867070281653,1
"czprob",3562,929,0.0032359271318045,0.925726587728741,0.983717012914093,TRUE,0.983853606027987,0.00107642626480086,0.0993541442411195,0.197631862217438,0.295909580193757,0.394187298170075,0.497847147470398,0.598277717976319,0.698708288482239,0.798062432723359,0.897416576964478,1
"d2q06c",5831,2171,0.00261321874278434,0.402579456471672,0.55856628365632,TRUE,0.627360663288807,0.0202671579917089,0.154606172270843,0.263473053892216,0.408245048364809,0.484016582220175,0.554813450023031,0.623952095808383,0.723952095808383,0.814647627821281,0.894011976047904,0.99032703823123
"d6cube",6184,415,0.014691625492916,0.0144578313253012,1,TRUE,0.973493975903614,0.00240963855421687,0.0975903614457831,0.213253012048193,0.319277108433735,0.398795180722892,0.510240963855422,0.610843373493976,0.713253012048193,0.812048192771084,0.907228915662651,1
"degen2",757,444,0.0124989586680472,0.547297297297297,0.6221928665786,TRUE,0.936936936936937,0.00225225225225225,0.10472972972973,0.20045045045045,0.293918918918919,0.38963963963964,0.48536036036036,0.578828828828829,0.688063063063063,0.786036036036036,0.880630630630631,0.986486486486487
