"LPprob","n","m","suc","n.binding","Rank0","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","Rank9","Rank10"
"25fv47",1876,821,TRUE,0.778319123020706,0.00121802679658952,0.487819732034105,0.487819732034105,0.487819732034105,0.487819732034105,0.487819732034105,0.487819732034105,0.487819732034105,0.487819732034105,0.487819732034105,1
"80bau3b",12061,2262,FALSE,0.847038019451813,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"adlittle",138,56,TRUE,0.821428571428571,0.0363636363636364,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.945454545454545,1
"afiro",51,27,TRUE,0.851851851851852,0.037037037037037,0.462962962962963,0.462962962962963,0.462962962962963,0.462962962962963,0.462962962962963,0.462962962962963,0.462962962962963,0.462962962962963,0.925925925925926,1
"agg",615,488,TRUE,0.145491803278689,0.00307377049180328,0.471311475409836,0.471311475409836,0.471311475409836,0.471311475409836,0.471311475409836,0.471311475409836,0.471311475409836,0.471311475409836,0.471311475409836,1
"agg2",758,516,TRUE,0.158914728682171,0.00387596899224806,0.468992248062016,0.468992248062016,0.468992248062016,0.468992248062016,0.468992248062016,0.468992248062016,0.468992248062016,0.468992248062016,0.468992248062016,1
"agg3",758,516,TRUE,0.14922480620155,0.00193798449612403,0.468992248062016,0.468992248062016,0.468992248062016,0.468992248062016,0.468992248062016,0.468992248062016,0.468992248062016,0.468992248062016,0.468992248062016,1
"bandm",472,305,TRUE,1,0.00655737704918033,0.477049180327869,0.477049180327869,0.477049180327869,0.477049180327869,0.477049180327869,0.477049180327869,0.477049180327869,0.477049180327869,0.477049180327869,1
"beaconfd",295,173,TRUE,0.641618497109827,0.427745664739884,0.427745664739884,0.427745664739884,0.427745664739884,0.427745664739884,0.427745664739884,0.427745664739884,0.427745664739884,0.427745664739884,0.427745664739884,0.988439306358382
"blend",114,74,TRUE,0.810810810810811,0.0340136054421769,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.850340136054422,0.850340136054422,1
"bnl1",1586,643,TRUE,0.794712286158631,0.0031104199066874,0.502332814930016,0.502332814930016,0.502332814930016,0.502332814930016,0.502332814930016,0.502332814930016,0.502332814930016,0.502332814930016,0.502332814930016,1
"bnl2",4486,2324,TRUE,0.816265060240964,0.000645438898450947,0.500430292598967,0.500430292598967,0.500430292598967,0.500430292598967,0.500430292598967,0.500430292598967,0.500430292598967,0.500430292598967,0.500430292598967,1
"bore3d",334,233,TRUE,1,0.439914163090129,0.439914163090129,0.439914163090129,0.439914163090129,0.439914163090129,0.439914163090129,0.439914163090129,0.439914163090129,0.439914163090129,0.909871244635193,1
"brandy",303,220,TRUE,0.886363636363636,0.438636363636364,0.438636363636364,0.438636363636364,0.438636363636364,0.438636363636364,0.438636363636364,0.438636363636364,0.438636363636364,0.438636363636364,0.895454545454546,1
"capri",482,271,TRUE,0.785977859778598,0.003690036900369,0.455719557195572,0.455719557195572,0.455719557195572,0.455719557195572,0.455719557195572,0.455719557195572,0.455719557195572,0.455719557195572,0.92619926199262,1
"cre_a",7248,3516,TRUE,0.931740614334471,0.499004550625711,0.499004550625711,0.499004550625711,0.499004550625711,0.499004550625711,0.499004550625711,0.499004550625711,0.499004550625711,0.499004550625711,0.499004550625711,1
"cre_c",6411,3068,TRUE,0.926010430247718,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
"cycle",3371,1903,FALSE,1,0.00131371518654756,0.501313715186548,0.501313715186548,0.501313715186548,0.501313715186548,0.501313715186548,0.501313715186548,0.501313715186548,0.501313715186548,0.501313715186548,1
"czprob",3562,929,TRUE,0.983853606027987,0.00161463939720129,0.501614639397201,0.501614639397201,0.501614639397201,0.501614639397201,0.501614639397201,0.501614639397201,0.501614639397201,0.501614639397201,0.501614639397201,1
"d2q06c",5831,2171,TRUE,0.627360663288807,0.000921234454168586,0.494933210502073,0.494933210502073,0.494933210502073,0.494933210502073,0.494933210502073,0.494933210502073,0.494933210502073,0.494933210502073,0.494933210502073,1
"d6cube",6184,415,TRUE,0.973493975903614,0.501809408926417,0.501809408926417,0.501809408926417,0.501809408926417,0.501809408926417,0.501809408926417,0.501809408926417,0.501809408926417,0.501809408926417,0.501809408926417,1
"degen2",757,444,TRUE,0.936936936936937,0.00225225225225225,0.47972972972973,0.47972972972973,0.47972972972973,0.47972972972973,0.47972972972973,0.47972972972973,0.47972972972973,0.47972972972973,0.47972972972973,1
"dfl001",12230,6071,TRUE,0.993081864602207,0.000247341083353945,0.499628988374969,0.499628988374969,0.499628988374969,0.499628988374969,0.499628988374969,0.499628988374969,0.499628988374969,0.499628988374969,0.499628988374969,1
"e226",472,223,TRUE,0.704035874439462,0.00678733031674208,0.463800904977376,0.463800904977376,0.463800904977376,0.463800904977376,0.463800904977376,0.463800904977376,0.463800904977376,0.463800904977376,0.933484162895928,1
"etamacro",816,400,FALSE,0.94,0.00497512437810945,1,1,1,1,1,1,1,1,1,1
"fffff800",1028,524,TRUE,0.57824427480916,0.45324427480916,0.45324427480916,0.45324427480916,0.45324427480916,0.45324427480916,0.45324427480916,0.45324427480916,0.45324427480916,0.45324427480916,0.45324427480916,0.952290076335878
"finnis",1064,497,FALSE,0.766599597585513,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
"fit1d",1049,24,FALSE,1,0.208333333333333,0.208333333333333,0.208333333333333,0.208333333333333,0.4375,0.541666666666667,0.608333333333334,0.8125,0.8125,0.8125,1
"fit1p",1677,627,TRUE,0.601275917065391,0.0175438596491228,0.0797448165869219,0.179425837320574,0.232057416267943,0.348484848484849,0.48006379585327,0.599840510366828,0.689792663476874,0.784688995215311,0.85725677830941,0.996012759170654
"fit2d",10524,25,FALSE,1,0.22,0.22,0.22,0.22,0.352,0.62,0.62,0.62,0.82,0.92,1
"fit2p",13525,3000,TRUE,0.960666666666667,0.00501504513540622,0.100468070879305,0.26579739217653,0.26579739217653,0.38732865262454,0.501337345369442,0.501337345369442,0.714309595453026,0.714309595453026,0.877131394182548,1
"ganges",1706,1309,TRUE,0.834988540870894,0.00229182582123759,0.504583651642475,0.504583651642475,0.504583651642475,0.504583651642475,0.504583651642475,0.504583651642475,0.504583651642475,0.504583651642475,0.504583651642475,1
"gfrd_pnc",1160,616,TRUE,0.88961038961039,0.500406173842405,0.500406173842405,0.500406173842405,0.500406173842405,0.500406173842405,0.500406173842405,0.500406173842405,0.500406173842405,0.500406173842405,0.500406173842405,1
"greenbea",5598,2392,FALSE,1,0.494983277591973,0.494983277591973,0.494983277591973,0.494983277591973,0.494983277591973,0.494983277591973,0.494983277591973,0.494983277591973,0.494983277591973,0.494983277591973,1
"greenbeb",5598,2392,FALSE,1,0.494983277591973,0.494983277591973,0.494983277591973,0.494983277591973,0.494983277591973,0.494983277591973,0.494983277591973,0.494983277591973,0.494983277591973,0.494983277591973,1
"grow15",645,300,FALSE,1,0.00662251655629139,1,1,1,1,1,1,1,1,1,1
"grow22",946,440,FALSE,1,0.00452488687782805,1,1,1,1,1,1,1,1,1,1
"grow7",301,140,FALSE,1,0.0140845070422535,1,1,1,1,1,1,1,1,1,1
"israel",316,174,TRUE,0.189655172413793,0.218354430379747,0.224683544303797,0.305063291139241,0.370253164556962,0.443670886075949,0.5,0.5,0.607594936708861,0.607594936708861,0.607594936708861,1
"kb2",68,43,FALSE,1,0.488372093023256,0.488372093023256,0.488372093023256,0.488372093023256,0.488372093023256,0.488372093023256,0.488372093023256,0.488372093023256,0.488372093023256,0.488372093023256,1
"ken_07",3602,2426,FALSE,0.424154987633965,0.500206100577082,0.500206100577082,0.500206100577082,0.500206100577082,0.500206100577082,0.500206100577082,0.500206100577082,0.500206100577082,0.500206100577082,0.500206100577082,1
"lotfi",366,153,TRUE,0.607843137254902,0.0065359477124183,0.503267973856209,0.503267973856209,0.503267973856209,0.503267973856209,0.503267973856209,0.503267973856209,0.503267973856209,0.503267973856209,0.503267973856209,1
"maros_r7",9408,3136,TRUE,0.864477040816326,0.00127388535031847,1,1,1,1,1,1,1,1,1,1
"maros",1966,846,FALSE,0.950354609929078,0.00235849056603774,1,1,1,1,1,1,1,1,1,1
"modszk1",1620,687,TRUE,0.754002911208151,0.00368459837877671,0.497420781134856,0.497420781134856,0.497420781134856,0.497420781134856,0.497420781134856,0.497420781134856,0.497420781134856,0.497420781134856,0.497420781134856,1
"osa_07",25067,1118,TRUE,0.325581395348837,1,1,1,1,1,1,1,1,1,1,1
"osa_14",54797,2337,TRUE,0.339751818570817,1,1,1,1,1,1,1,1,1,1,1
"pds_02",7716,2953,TRUE,0.962411107348459,1,1,1,1,1,1,1,1,1,1,1
"perold",1506,625,TRUE,0.7296,0.0016,0.5072,0.5072,0.5072,0.5072,0.5072,0.5072,0.5072,0.5072,0.5072,1
