"LPprob","n","m","suc","n.binding","Rank0","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","Rank9","Rank10"
"25fv47",1876,821,TRUE,0.778319123020706,0.00121802679658952,0.0919610231425091,0.174056029232643,0.260170523751523,0.343118148599269,0.432399512789281,0.535322777101096,0.657978075517661,0.764190012180268,0.889646772228989,1
"80bau3b",12061,2262,FALSE,0.847038019451813,0.00574712643678161,0.137709991158267,0.230327144120248,0.313881520778073,0.403404067197171,0.489389920424403,0.565428824049514,0.659703801945182,0.81631299734748,0.914898320070734,0.999557913351017
"adlittle",138,56,TRUE,0.821428571428571,0.0178571428571429,0.0982142857142857,0.214285714285714,0.3125,0.428571428571429,0.508928571428571,0.642857142857143,0.741071428571429,0.830357142857143,0.919642857142857,1
"afiro",51,27,TRUE,0.851851851851852,0.037037037037037,0.118518518518519,0.2,0.337037037037037,0.388888888888889,0.592592592592593,0.614814814814815,0.755555555555556,0.833333333333333,0.918518518518519,1
"agg",615,488,TRUE,0.145491803278689,0.00409836065573771,0.182377049180328,0.214139344262295,0.284836065573771,0.496926229508197,0.57172131147541,0.625,0.710040983606558,0.835040983606557,0.924180327868853,1
"agg2",758,516,TRUE,0.158914728682171,0.00387596899224806,0.163759689922481,0.248837209302326,0.300387596899225,0.360852713178295,0.41327519379845,0.436434108527132,0.502713178294574,0.61937984496124,0.737015503875969,1
"agg3",758,516,TRUE,0.14922480620155,0.00193798449612403,0.159883720930233,0.228682170542636,0.297480620155039,0.346124031007752,0.410852713178295,0.433139534883721,0.55562015503876,0.616279069767442,0.742248062015504,1
"bandm",472,305,TRUE,1,0.00327868852459016,0.104918032786885,0.213114754098361,0.298360655737705,0.401967213114754,0.501639344262295,0.601311475409836,0.700983606557377,0.800655737704918,0.900327868852459,1
"beaconfd",295,173,TRUE,0.641618497109827,0.0317919075144509,0.0780346820809249,0.138728323699422,0.199421965317919,0.263005780346821,0.520231213872832,0.583815028901734,0.682080924855492,0.751445086705202,0.84971098265896,0.988439306358382
"blend",114,74,TRUE,0.810810810810811,0.0135135135135135,0.141891891891892,0.231081081081081,0.333783783783784,0.413513513513514,0.493243243243243,0.572972972972973,0.656756756756757,0.786486486486487,0.906756756756757,1
"bnl1",1586,643,TRUE,0.794712286158631,0.0015552099533437,0.0979782270606532,0.204510108864697,0.277604976671851,0.363141524105754,0.492223950233281,0.611197511664075,0.723172628304821,0.820373250388802,0.912908242612753,1
"bnl2",4486,2324,TRUE,0.816265060240964,0.000430292598967298,0.130378657487091,0.205034423407917,0.302280550774527,0.352194492254733,0.441265060240964,0.520438898450947,0.631239242685026,0.764414802065405,0.891781411359725,1
"bore3d",334,233,TRUE,1,0.00429184549356223,0.105150214592275,0.216738197424893,0.313304721030043,0.402575107296137,0.502145922746781,0.6,0.701287553648069,0.800858369098713,0.900429184549356,1
"brandy",303,220,TRUE,0.886363636363636,0.0681818181818182,0.0681818181818182,0.221818181818182,0.234090909090909,0.368181818181818,0.472727272727273,0.584545454545455,0.676363636363636,0.765454545454546,0.870909090909091,1
"capri",482,271,TRUE,0.785977859778598,0.003690036900369,0.0848708487084871,0.160516605166052,0.24169741697417,0.363468634686347,0.47970479704797,0.585977859778598,0.693726937269373,0.788191881918819,0.897416974169742,1
"cre_a",7248,3516,TRUE,0.931740614334471,0.0126564277588168,0.0728100113765643,0.266496018202503,0.266496018202503,0.433589306029579,0.493742889647326,0.590870307167236,0.668515358361775,0.800767918088737,0.899744027303754,1
"cre_c",6411,3068,TRUE,0.926010430247718,0.0135267275097784,0.0743155149934811,0.249185136897001,0.249185136897001,0.382659713168188,0.513526727509778,0.605117340286832,0.66248370273794,0.792861799217731,0.89977183833116,1
"cycle",3371,1903,FALSE,1,0.000525486074619023,0.1077246452969,0.201523909616395,0.301050972149238,0.400157645822386,0.500525486074619,0.600367840252233,0.700157645822386,0.800105097214924,0.899894902785076,1
"czprob",3562,929,TRUE,0.983853606027987,0.00107642626480086,0.0990312163616792,0.20021528525296,0.296017222820237,0.400968783638321,0.489235737351991,0.593110871905274,0.682992465016146,0.764800861141012,0.898815931108719,1
"d2q06c",5831,2171,TRUE,0.627360663288807,0.000921234454168586,0.081759557807462,0.158912943344081,0.230308613542146,0.310225702441271,0.384845693228927,0.464670658682635,0.544633809304468,0.650667894979272,0.814739751266697,1
"d6cube",6184,415,TRUE,0.973493975903614,0.0240963855421687,0.110843373493976,0.208674698795181,0.307951807228916,0.405301204819277,0.503012048192771,0.601927710843374,0.70144578313253,0.79855421686747,0.898072289156627,1
"degen2",757,444,TRUE,0.936936936936937,0.00225225225225225,0.0923423423423423,0.188063063063063,0.278153153153153,0.367117117117117,0.476351351351351,0.570945945945946,0.667792792792793,0.77027027027027,0.877252252252252,1
"dfl001",12230,6071,TRUE,0.993081864602207,0.000164717509471257,0.112996211497282,0.203920276725416,0.298962279690331,0.404216768242464,0.486657881732828,0.600560039532202,0.696013836270796,0.798138692142975,0.896722121561522,1
"e226",472,223,TRUE,0.704035874439462,0.00896860986547085,0.121076233183857,0.185650224215247,0.313452914798206,0.391031390134529,0.493273542600897,0.573991031390135,0.661434977578475,0.776681614349776,0.915695067264574,1
"etamacro",816,400,FALSE,0.94,0.0025,0.08125,0.15625,0.29625,0.4125,0.50375,0.55875,0.706875,0.78625,0.895,1
"fffff800",1028,524,TRUE,0.57824427480916,0.00190839694656489,0.0601145038167939,0.132824427480916,0.192748091603053,0.291603053435115,0.407442748091603,0.475954198473283,0.591412213740458,0.687022900763359,0.788549618320611,0.941793893129771
"finnis",1064,497,FALSE,0.766599597585513,0.0241448692152917,0.142857142857143,0.237424547283702,0.355130784708249,0.41046277665996,0.508048289738431,0.628772635814889,0.71327967806841,0.821931589537223,0.92354124748491,1
"fit1d",1049,24,FALSE,1,0.0416666666666667,0.1375,0.233333333333333,0.329166666666667,0.425,0.520833333333333,0.616666666666667,0.7125,0.808333333333333,0.904166666666667,1
