"comparing","ClassicSolved","NewSolved","n","m","used.constraints","n.binding","prop.binding","rnd1","rnd2","rnd3","rnd4","rnd5","rnd6","rnd7","rnd8","rnd9","rnd10","economy"
0,0,0,76,827,578,101,0.742647058823529,67,819,282,92,64,592,13,61,578,22,249
0,0,0,63,647,438,76,0.716981132075472,23,203,89,295,33,150,21,2,438,8,209
0,0,0,67,768,480,80,0.689655172413793,15,319,723,124,58,654,37,25,480,26,288
0,0,0,63,753,323,50,0.454545454545455,20,137,289,713,18,226,45,57,323,42,430
0,0,0,79,823,649,122,0.829931972789116,23,93,690,275,14,533,31,30,649,65,174
0,0,0,66,675,661,100,0.970873786407767,53,606,70,234,2,630,16,40,661,60,14
0,0,0,70,1035,327,38,0.308943089430894,9,975,492,829,4,228,65,69,327,14,708
0,0,0,63,690,304,59,0.472,28,329,690,263,35,615,40,58,304,37,386
0,0,0,73,945,443,63,0.466666666666667,33,276,217,817,27,678,3,47,443,23,502
0,0,0,61,623,248,46,0.425925925925926,51,216,144,117,27,492,20,29,248,13,375
0,0,0,73,810,313,51,0.414634146341463,72,475,536,597,56,438,68,39,313,35,497
0,0,0,61,912,874,118,1,43,789,495,584,14,862,18,34,874,45,38
0,0,0,66,696,675,98,0.97029702970297,45,515,574,323,5,263,22,30,675,6,21
0,0,0,73,1015,274,41,0.299270072992701,9,782,238,622,18,240,51,51,274,71,741
0,0,0,65,871,208,32,0.26890756302521,64,698,703,713,29,539,51,58,208,46,663
0,0,0,71,920,125,14,0.12280701754386,6,322,363,743,42,799,46,15,125,64,795
0,0,0,76,999,744,99,0.761538461538461,63,375,869,963,20,264,53,64,744,71,255
0,0,0,67,974,476,64,0.512,19,178,686,600,29,328,7,57,476,36,498
0,0,0,72,1017,1000,135,1,66,977,672,468,63,917,23,45,1000,33,17
0,0,0,68,844,502,80,0.707964601769911,49,591,178,176,48,487,52,55,502,67,342
0,0,0,74,995,321,50,0.36231884057971,69,884,872,182,42,726,25,30,321,68,674
0,0,0,78,1034,571,81,0.58695652173913,38,569,128,1015,46,269,53,57,571,15,463
0,0,0,66,699,330,53,0.445378151260504,11,68,640,309,20,525,45,7,330,23,369
0,0,0,62,653,154,32,0.280701754385965,18,301,492,185,36,280,61,62,154,27,499
0,0,0,69,866,568,87,0.659090909090909,8,161,851,290,32,289,23,30,568,68,298
1,0,0,71,711,710,112,1,7,304,407,174,32,315,20,2,710,47,1
0,0,0,70,1020,226,37,0.28030303030303,29,744,543,248,22,311,68,23,226,69,794
0,0,0,79,1139,700,107,0.722972972972973,50,292,999,915,49,928,61,5,700,63,439
0,0,0,72,1045,1026,145,0.993150684931507,32,404,112,419,24,380,23,21,1026,47,19
0,0,0,70,745,356,71,0.559055118110236,44,189,736,480,63,200,18,11,356,39,389
0,0,0,61,733,117,17,0.17,35,532,649,299,60,352,3,48,117,34,616
0,0,0,70,933,909,130,0.99236641221374,68,608,905,594,21,841,20,3,909,69,24
0,0,0,63,682,401,76,0.672566371681416,45,234,565,562,34,273,8,37,401,34,281
0,0,0,70,949,603,89,0.684615384615385,65,153,106,902,70,568,63,58,603,26,346
0,0,0,65,757,68,10,0.087719298245614,35,94,180,397,18,213,11,43,68,3,689
0,0,0,63,635,89,18,0.173076923076923,4,419,240,418,63,236,52,62,89,15,546
0,0,0,77,1114,861,116,0.865671641791045,26,710,249,875,16,685,76,45,861,16,253
0,0,0,71,822,236,35,0.271317829457364,38,775,503,788,25,754,58,20,236,71,586
0,0,0,64,897,394,44,0.407407407407407,62,276,349,535,30,421,52,2,394,52,503
0,0,0,65,933,754,86,0.83495145631068,60,456,628,277,29,9,2,23,754,52,179
0,0,0,69,902,250,41,0.292857142857143,24,440,698,255,52,116,62,49,250,53,652
0,0,0,61,699,656,98,0.97029702970297,39,71,573,134,24,545,34,5,656,20,43
0,0,0,69,714,149,29,0.233870967741935,14,159,95,478,53,367,36,53,149,2,565
0,0,0,73,899,651,103,0.774436090225564,17,353,749,213,26,237,66,43,651,45,248
0,0,0,63,638,597,92,0.948453608247423,2,433,591,467,44,105,46,26,597,8,41
0,0,0,74,1092,379,55,0.407407407407407,67,798,203,205,46,371,26,37,379,18,713
0,0,0,72,794,490,82,0.661290322580645,46,699,373,746,57,445,35,32,490,59,304
0,0,0,71,862,830,119,0.967479674796748,39,361,76,721,60,720,47,40,830,6,32
0,0,0,78,1067,776,99,0.722627737226277,42,100,890,630,76,166,68,25,776,10,291
0,0,0,73,1091,795,105,0.766423357664234,56,459,799,427,12,285,4,19,795,43,296
0,0,0,76,964,303,50,0.40650406504065,74,121,495,661,32,723,63,33,303,47,661
