"comparing","ClassicSolved","NewSolved","n","m","used.constraints","n.binding","prop.binding","rnd1","rnd2","rnd3","rnd4","rnd5","rnd6","rnd7","rnd8","rnd9","rnd10","economy"
1,0,0,93,1101,1101,157,1,29,1051,925,909,31,456,26,67,238,65,0
1,0,0,90,966,966,151,1,79,774,842,850,77,389,64,28,530,72,0
1,0,0,89,1216,1216,159,1,69,293,247,813,80,1199,47,74,1068,11,0
1,0,0,85,1246,1246,134,1,43,568,861,413,20,1058,41,44,691,80,0
1,0,0,81,935,935,150,1,3,877,725,746,13,769,35,39,625,46,0
1,0,0,86,1101,1101,149,1,84,1007,137,623,3,305,84,19,520,63,0
1,0,0,81,859,859,135,1,5,719,706,550,77,312,19,47,469,64,0
1,0,0,81,839,839,144,1,12,257,90,254,55,322,77,60,181,9,0
1,0,0,88,1259,1259,147,1,85,1035,1186,519,37,1125,76,53,543,15,0
1,0,0,87,1099,1099,148,1,49,371,339,223,53,974,83,59,837,47,0
1,0,0,81,916,916,135,1,40,616,691,93,4,573,63,8,203,35,0
1,0,0,88,1202,1202,170,1,85,442,451,326,37,449,18,28,189,45,0
1,0,0,93,1175,1175,159,1,12,193,1039,736,20,534,23,41,661,70,0
1,0,0,91,950,950,149,1,29,671,441,573,58,427,85,32,152,54,0
1,0,0,81,1090,1090,144,1,48,1058,233,913,69,782,12,36,383,12,0
1,0,0,85,1192,1192,143,1,10,1058,977,474,62,876,35,80,666,40,0
1,0,0,89,1024,1024,162,1,30,813,1003,157,58,327,67,29,746,13,0
1,0,0,83,1203,1203,145,1,27,1157,264,173,37,137,38,20,989,74,0
1,0,0,81,1051,1051,149,1,45,981,162,208,33,649,71,30,835,54,0
1,0,0,92,1236,1236,164,1,41,590,967,113,65,651,27,41,450,60,0
1,0,0,83,909,909,145,1,25,372,400,152,11,394,24,28,199,44,0
1,0,0,84,877,877,134,1,59,872,750,552,19,176,22,60,233,20,0
1,0,0,83,978,978,153,1,65,593,748,552,24,459,69,66,106,80,0
1,0,0,82,1124,1124,145,1,26,430,355,552,7,1070,40,35,763,55,0
1,0,0,83,927,927,129,1,77,752,422,907,55,114,75,13,824,40,0
1,0,0,88,1019,1019,143,1,84,824,274,996,82,569,11,50,410,74,0
1,0,0,83,907,907,127,1,64,188,342,316,36,885,31,15,533,30,0
1,0,0,82,917,917,133,1,67,109,798,143,26,800,15,44,730,48,0
0,0,0,88,1001,908,135,0.888157894736842,85,859,342,607,52,29,32,29,933,35,93
1,0,0,83,902,902,136,1,56,467,700,129,43,359,69,62,473,72,0
1,0,0,94,955,955,152,1,47,558,679,184,25,843,87,3,503,43,0
1,0,0,88,1122,1122,158,1,46,694,102,1122,33,184,9,41,272,71,0
0,0,0,84,1254,1216,154,0.968553459119497,32,585,832,956,48,51,35,18,500,13,38
1,0,0,85,876,876,158,1,9,722,741,204,70,223,32,38,198,45,0
1,0,0,93,967,967,158,1,55,709,360,590,29,174,37,62,660,93,0
1,0,0,81,939,939,142,1,63,779,691,688,27,510,23,74,681,36,0
1,0,0,87,1120,1120,158,1,20,103,788,264,52,835,47,60,317,61,0
1,0,0,89,1084,1084,150,1,65,896,629,294,41,748,46,41,849,87,0
1,0,0,91,1088,1088,154,1,73,139,300,1087,43,81,69,78,272,15,0
1,0,0,81,1213,1213,160,1,77,955,866,193,18,672,51,48,521,33,0
1,0,0,95,992,992,154,1,7,746,511,123,79,176,60,64,515,78,0
1,0,0,83,1239,1239,134,1,24,209,352,703,34,1030,67,64,525,62,0
1,0,0,82,916,916,130,1,49,213,757,647,80,346,20,65,204,41,0
1,0,0,83,1139,1139,148,1,54,348,327,998,78,709,44,17,1119,36,0
1,0,0,84,1050,1050,149,1,79,351,137,251,30,767,12,78,738,11,0
1,0,0,82,820,820,126,1,20,591,802,182,3,175,51,46,533,9,0
1,0,0,82,1052,1052,151,1,30,789,901,726,3,709,21,48,693,33,0
1,0,0,85,867,867,145,1,68,811,593,212,62,77,39,48,713,60,0
1,0,0,82,1165,1165,140,1,21,422,237,981,80,284,17,23,183,52,0
1,0,0,82,1166,1166,145,1,29,908,910,1088,48,833,10,70,1057,25,0
1,0,0,88,959,959,160,1,3,193,811,306,18,819,88,29,605,87,0
1,0,0,81,1179,1179,153,1,77,697,737,137,38,1141,12,81,977,63,0
1,0,0,81,1094,1094,154,1,52,383,790,213,31,265,14,42,815,27,0
0,0,4,90,1045,1027,152,0.980645161290323,75,999,808,610,46,45,40,66,760,46,18
1,0,0,85,1009,1009,137,1,16,369,329,265,32,928,42,46,614,78,0
1,0,0,89,1185,1185,149,1,77,1062,846,809,6,322,58,58,1094,80,0
1,0,0,85,1042,1042,162,1,37,1015,454,971,78,280,29,42,484,42,0
1,0,0,87,1118,1118,149,1,22,291,262,993,87,838,56,56,843,21,0
