"comparing","ClassicSolved","NewSolved","n","m","used.constraints","n.binding","prop.binding","rnd1","rnd2","rnd3","rnd4","rnd5","rnd6","rnd7","rnd8","rnd9","rnd10","economy"
1,0,0,18,247,247,25,1,14,208,80,209,14,107,8,18,211,17,0
1,0,0,11,155,155,18,1,3,109,136,39,7,122,2,10,42,7,0
1,0,0,12,145,145,18,1,11,141,47,45,5,85,7,10,97,2,0
1,0,0,13,152,152,13,1,4,58,47,74,13,73,13,9,63,4,0
1,0,0,4,51,43,4,1,4,35,30,38,4,21,2,4,9,4,8
0,0,0,20,274,261,35,0.972222222222222,18,85,217,100,2,40,9,10,191,20,13
1,0,0,5,53,53,6,1,2,20,15,50,3,40,3,5,8,4,0
1,0,0,14,181,181,17,1,8,168,91,88,9,159,7,2,111,6,0
1,0,0,5,64,64,7,1,5,21,33,11,2,45,3,2,21,4,0
1,0,0,11,134,134,18,1,4,48,125,113,10,115,3,7,30,2,0
1,0,0,13,136,136,17,1,2,108,108,23,3,99,4,12,93,5,0
1,0,0,6,81,81,7,1,3,53,43,36,5,75,4,3,28,4,0
1,0,0,8,110,110,11,1,5,92,42,58,8,81,7,8,61,8,0
1,0,0,14,195,195,19,1,5,90,70,39,3,101,3,5,38,3,0
1,0,0,19,271,271,33,1,7,118,123,143,11,186,18,7,66,4,0
1,0,0,18,243,243,31,1,9,140,35,206,11,95,13,8,97,6,0
0,0,0,8,81,36,4,0.444444444444444,3,12,77,81,5,6,5,5,61,8,45
1,0,0,5,73,72,9,1,5,16,6,60,2,39,3,5,22,2,1
1,0,0,20,236,236,36,1,14,197,46,159,20,88,11,10,196,14,0
1,0,0,12,171,171,18,1,2,71,37,159,6,113,3,8,116,6,0
1,0,0,20,201,201,30,1,20,86,144,95,17,150,13,16,120,9,0
0,0,0,4,45,29,3,0.6,2,38,24,24,2,11,2,4,42,4,16
1,0,0,18,214,214,28,1,18,121,97,98,6,115,14,13,62,9,0
1,0,0,18,220,220,30,1,12,126,169,79,10,64,17,7,20,8,0
1,0,0,8,96,95,12,1,2,27,34,73,2,41,5,3,76,4,1
0,0,0,18,260,178,15,0.652173913043478,8,74,57,250,6,17,15,16,36,4,82
1,0,0,7,74,70,9,1,5,70,26,62,3,27,6,2,54,2,4
